BTJD	fluxes	errors	fluxes_detrended	errors_detrended	flags	quarter
1526.238124974327	36196.96	26.998732	1.0002439986895748	0.0007458839	0	8
1526.2395138682218	36212.625	27.016144	1.000726077560767	0.0007460421	0	8
1526.2409027625813	36163.652	26.994629	0.9994223120495721	0.0007464575	0	8
1526.2422916564747	36131.953	26.978037	0.9985962100440415	0.0007466532	0	8
1526.2436805503676	36178.363	27.01019	0.9999292640328306	0.00074658403	0	8
1526.2450694442623	36179.375	27.008116	1.0000079966242768	0.00074650586	0	8
1526.2464583386227	36145.67	26.975042	0.9991275145215713	0.00074628694	0	8
1526.2478472325156	36147.08	26.987434	0.9992178136450836	0.00074660074	0	8
1526.249236126409	36117.625	26.99357	0.9984553530669662	0.00074737944	0	8
1526.2506250203028	36137.715	27.009651	0.9990627870127595	0.00074740895	0	8
1526.2520139141975	36167.707	26.972368	0.9999443539815146	0.0007457583	0	8
1526.253402808557	36137.383	27.005047	0.9991586127014112	0.0007472884	0	8
1526.2547917024501	36185.996	26.995296	1.0005557047628484	0.000746015	0	8
1526.2561805963442	36150.3	27.000433	0.9996219108554433	0.00074689375	0	8
1526.2575694902384	36149.63	26.99708	0.9996567692610319	0.0007468149	0	8
1526.2589583841323	36243.664	27.01235	1.0023110639955992	0.0007452986	0	8
1526.2603472780256	36115.08	26.988111	0.9988087726250979	0.000747281	0	8
1526.261736172385	36178.227	26.99243	1.0006093513819172	0.00074609596	0	8
1526.263125066279	36174.33	26.998215	1.0005558399877206	0.0007463363	0	8
1526.264513960173	36195.15	27.001818	1.0011862322329044	0.00074600655	0	8
1526.265902854067	36114.453	26.9878	0.9990086941045402	0.0007472853	0	8
1526.2672917479608	36100.746	26.99768	0.998684211525892	0.0007478427	0	8
1526.2686806418546	36169.625	26.99188	1.0006445899973289	0.00074625824	0	8
1526.270069535748	36184.703	27.002607	1.0011168024863726	0.0007462437	0	8
1526.2714584296423	36148.656	27.004301	1.0001746252641346	0.00074703473	0	8
1526.272847323537	36164.203	26.987877	1.0006600294783563	0.0007462594	0	8
1526.2742362174301	36126.96	26.990368	0.999684817109238	0.00074709766	0	8
1526.2756251113233	36126.77	26.98305	0.999734868267962	0.00074689905	0	8
1526.277014005218	36132.234	26.976671	0.9999415131378411	0.0007466095	0	8
1526.2784028991125	36137.07	27.00182	1.00013081757682	0.0007472056	0	8
1526.2797917930056	36148.203	26.985537	1.0004944556802438	0.00074652495	0	8
1526.281180686899	36167.97	26.990988	1.0010971014904384	0.00074626773	0	8
1526.2825695807928	36119.617	26.994211	0.999814293840215	0.000747356	0	8
1526.2839584746873	36114.688	26.956837	0.9997333518974076	0.0007464231	0	8
1526.2853473685814	36088.094	26.976265	0.9990526439347942	0.0007475115	0	8
1526.2867362624743	36139.43	26.994545	1.0005293375154243	0.00074695545	0	8
1526.2881251563683	36145.383	26.99231	1.0007496534879372	0.0007467706	0	8
1526.2895140502624	36104.676	26.977848	0.9996780046302975	0.00074721203	0	8
1526.2909029441562	36141.664	26.994183	1.000757551152403	0.0007468993	0	8
1526.29229183805	36099.246	26.984205	0.9996382793347206	0.0007475005	0	8
1526.2936807319438	36112.137	26.985397	1.00005046175826	0.0007472667	0	8
1526.295069625372	36130.992	26.988035	1.0006277943161828	0.00074694975	0	8
1526.2964585192658	36110.027	26.985878	1.000102230166872	0.0007473237	0	8
1526.2978474131605	36109.86	26.995012	1.0001525218255651	0.0007475801	0	8
1526.2992363070543	36104.773	26.976715	1.0000664791162874	0.0007471786	0	8
1526.3006252009477	36090.316	26.986797	0.9997207165762314	0.00074775727	0	8
