,tid,sector,zeta,deltchi2,kurtosis,duration,tau0,depth,period,numdips,flat,teff,logg,class,ra,dec
383,281728376,2,29126.9,826.482,173.225,0.0447088,1358.859733,0.026819289,11.1772,1,y,6656.0,4.00221,eb,11.659744999999987,-54.10147499962813
386,317411334,6,28920.7,14853.6,48.843999999999994,0.03476574,1471.602233,0.08962261699999999,1.4485725,1,y,6036.0,4.15637,eb,87.71993500000002,-12.150664
394,53997651,9,28626.9,47901.0,62.7777,0.04667904,1545.2681949999999,0.73489707,1.45872,1,y,3418.0,4.71758,eb,159.57950000000005,-33.26829999952223
401,441422220,1,28124.3,6937.68,113.958,0.0369953,1325.873566,0.28628566899999996,3.69953,2,y,6348.0,4.269,eb,311.36211000000003,-34.64639499981649
404,284196801,4,28015.6,1035.16,172.465,0.044634,1416.478996,0.036876082000000004,11.1585,2,y,6098.09,3.77516,eb,105.54971999933349,-71.12675499995466
406,90716944,13,27986.2,6129.93,212.40200000000002,0.04814088,1665.097967,0.15891993,8.023480000000001,2,y,4900.0,4.55285,eb,277.0810649993333,-45.495429000563774
407,386262459,8,27971.2,2002.32,80.5695,0.05867906,1519.9579039999999,0.019070804,2.66723,2,n,9557.0,4.15172,eb,127.40101600000003,-16.001795
414,91246422,13,27667.0,2733.55,161.361,0.16962282,1659.463025,0.042674422000000004,9.42349,1,y,12417.0,,eb,277.93929499933336,-45.91485000069009
417,278826516,7,27560.6,533.279,124.26299999999999,0.08451648,1494.5175199999999,0.10377922699999999,7.0430399999999995,1,y,6248.46,4.10808,eb,100.47752899933334,-54.81815699993978
419,91636891,3,27456.3,944.052,161.57,0.053803199999999995,1395.39344,0.20549035100000002,13.4508,1,y,6461.0,3.9114800000000005,eb,39.404740000000004,-36.975813
421,153742549,5,27407.2,2106.15,82.3544,0.16996224,1442.264232,0.11324185099999999,6.07008,2,y,5726.0,3.6354,eb,66.52532500000001,-44.59543700029887
433,178723395,10,27081.8,2300.15,50.9181,0.03875608,1571.921911,0.040281475,1.76164,1,y,6756.0,4.2672099999999995,eb,166.14532700133327,-43.240311999915164
445,279949020,2,26560.4,1046.14,137.792,0.0654939,1354.5789539999998,0.146113515,6.54939,2,y,5860.0,3.77034,eb,40.391942000000085,-59.98536299990325
446,207080350,1,26549.8,352683.0,193.96400000000003,0.05464176,1332.786922,0.339876711,9.10696,2,y,6978.0,3.98346,eb,320.91898100000003,-39.77878400034078
447,27654882,7,26520.4,2994.45,37.4326,0.04908816,1493.3955019999999,0.034932494,1.11564,1,y,6447.0,3.8852300000000004,eb,123.70974100000001,12.060453
449,270204401,13,26439.4,3585.19,47.7787,0.04028976,1657.412625,0.17609465100000002,2.23832,2,y,9428.0,4.19563,eb,332.718569,-71.975792
451,350297040,7,26374.9,447.31300000000005,127.537,0.13048800000000002,1502.4233960000001,0.193832129,10.874,2,y,6294.0,4.45139,eb,83.71794099933328,-55.93215199978011
458,12158853,6,26101.3,255654.0,21.7318,0.036607667,1469.557192,0.18312782,0.631166667,2,y,3465.0,4.69601,eb,91.55599999999998,-3.6189
459,218152299,12,25957.3,16380.4,36.52,0.04031192,1631.3390960000002,0.076603532,1.2597475,1,y,6225.0,3.83785,eb,261.91121899999996,-45.55253200058083
461,2372579,13,25846.8,2305.22,216.422,0.05952912,1664.7902800000002,0.160040915,9.92152,1,y,5417.0,4.223330000000001,eb,288.91705700066666,-28.689227998606068
462,32449963,10,25821.3,52292.4,191.83900000000003,0.1303998,1574.70273,0.31714642,6.51999,2,y,5771.0,4.27824,eb,189.9383860006667,-11.647101999734959
473,70717462,9,25225.8,2183.53,87.0952,0.04717168,1546.5692060000001,0.022676766,2.94823,1,n,,,eb,151.63915299999996,-35.1800969999331
477,426541180,12,25052.7,1158.59,99.5211,0.0469754,1628.997253,0.047776937,4.69754,1,n,5715.0,4.32955,eb,244.93023699933337,-72.21480999957228
479,358108063,13,24900.8,1068.35,72.4208,0.05374575,1658.663345,0.088750273,2.985875,2,y,5723.0,,eb,51.24845200000021,-75.93654600093315
480,394585218,1,24822.1,1468.18,93.8959,0.047574599999999995,1327.1334689999999,0.08310774,3.96455,2,y,6032.0,3.99831,eb,341.02514700000006,-65.765319
484,178996712,5,24645.7,14683.8,41.6055,0.05369202,1443.439255,0.036709279,2.9828900000000003,2,n,7188.0,4.1017,eb,70.06329199999999,-27.735044
485,220359766,9,24595.7,2144.54,46.5175,0.04223776,1548.011221,0.02244401,1.7599066669999999,1,y,,,eb,155.05430299933334,-52.19426600018213
486,341309569,13,24579.0,600.663,124.07,0.05878072,1654.561158,0.047958016,7.347589999999999,1,n,4966.0,,eb,315.9289259993333,-64.13240600069227
495,139188326,1,24202.6,89900.3,10.8506,0.03530292,1327.0613859999999,0.007701397,0.588382,2,n,6506.0,3.6791199999999997,eb,345.0114660006667,-46.49217000086715
498,270166263,1,24155.9,2036.51,163.873,0.04595358,1332.51223,0.11119437199999999,7.658930000000001,2,y,4933.0,4.1330599999999995,eb,330.03012800066665,-27.70527700041997
499,317191077,6,24149.1,4853.9,41.7727,0.043820599999999994,1469.54378,0.047310292999999996,2.19103,2,n,6364.0,,eb,87.14899400000002,-13.053079
501,409900613,8,24013.4,9074.87,46.70399999999999,0.01544494,1518.273058,0.09553998699999999,1.10321,1,y,3194.0,4.83815,eb,144.89250000000004,-17.5986
502,118200081,13,23922.8,10102.1,17.9026,0.036210656,1657.512229,0.034996717999999996,0.9529120000000001,2,n,5366.0,,eb,272.18428399999993,-56.78262299885389
508,115275539,3,23719.5,3171.4,51.1486,0.04583904,1386.163552,0.023541927,1.7630400000000002,1,y,4913.0,,eb,25.950472999999988,-38.729657
520,46313508,6,23327.4,6231.76,25.0615,0.045434987,1469.285223,0.02388972,1.032613333,2,n,6445.0,3.6013699999999997,eb,83.104329,-14.971556
521,124350360,12,23323.7,23817.4,233.05200000000002,0.0684644,1629.706582,0.149023414,8.55805,1,y,3471.0,4.62766,eb,227.6685999993333,-52.80529999975768
522,169316288,13,23312.2,42653.7,14.2068,0.036894,1658.285699,0.054193556,0.5589999999999999,2,n,6290.0,,eb,292.508861,-27.95680799913389
528,222945452,12,23196.9,14153.6,21.2215,0.037417,1632.272941,0.009521574,0.74834,2,n,,,eb,245.89048299933336,-44.11795300016167
530,228760807,10,23048.9,92288.8,20.3484,0.035787671,1576.107611,0.039835364,0.777992857,2,y,5320.0,,eb,194.101407,-27.39059200036117
532,396655059,12,23004.6,1179.79,100.27600000000001,0.0638252,1626.93503,0.12262189400000001,7.97815,2,y,7909.0,4.1670300000000005,eb,214.7781210006665,-77.0952830007363
533,440788366,7,22863.8,6486.87,20.5246,0.035615807,1496.426357,0.026778519,0.7742566670000001,1,n,9079.0,,eb,109.09824700000001,12.45171
536,18914916,7,22769.0,566.485,151.531,0.0903008,1494.120691,0.15729948900000001,11.2876,2,y,5486.26,4.57799,eb,118.92315100000002,13.805927
543,180943676,6,22624.3,862.9789999999999,152.267,0.067344,1471.423188,0.082751811,8.418,1,n,6027.0,4.394080000000001,eb,88.72651100000002,-46.425405000846474
548,294197236,12,22450.5,4365.09,30.7435,0.038691699999999996,1628.13215,0.056588769000000004,0.9672924999999999,1,n,6372.0,3.6007300000000004,eb,264.8115559999999,-68.78611799968452
555,312111256,8,21987.6,10163.2,27.1304,0.0345517,1519.502724,0.036697328,1.151723333,2,n,7593.96,4.38992,eb,140.66395699999998,6.238876
557,423524230,9,21880.7,1322.94,62.5307,0.04130488,1545.8891019999999,0.027988732000000002,2.581555,2,n,6564.02,4.337969999999999,eb,169.18683199999998,-19.896483999712967
562,30382918,11,21728.8,286394.0,10.4605,0.035461407,1603.593024,0.033986747000000005,0.571958182,2,y,5854.0,4.2297,eb,198.43270399933328,-41.275348000721365
565,48063034,9,21651.8,51997.7,15.2239,0.03517884,1546.670584,0.065276921,0.586314,2,n,5304.0,4.20826,eb,147.48359100200003,-34.11232199970132
566,67267845,12,21618.8,4290.67,35.774,0.050633667,1631.732008,0.112053871,1.012673333,1,n,6817.0,3.64115,eb,240.95958900000005,-29.975912998854792
567,35101462,4,21613.9,1766.51,73.4629,0.050071199999999996,1413.8239720000001,0.053038508,4.1726,2,y,6114.0,4.21115,eb,35.41760799999997,-14.786723
574,363933313,12,21356.3,998.722,93.7562,0.05623908,1625.5111220000001,0.119312704,4.68659,1,y,5428.0,,eb,251.3295810013335,-71.05109199984882
